Kanske et al. (2010) - Supplement
LANG database, including valence mean and sd, arousal mean and sd,
concreteness mean and sd, frequency, number of letters and syllables.
Ratings from all, female, and male participants are provided separately.
all participants
word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Krise	3.696970	2.543188	5.848485	2.501515	7.281250	1.954884	9	5	2
Kristall	6.121212	1.832989	4.545455	2.623105	2.000000	1.481063	14	8	2
Krücke	4.060606	1.730957	3.000000	2.000000	1.843750	1.167003	15	6	2
Krug	5.242424	0.791766	2.125000	2.151519	1.625000	1.070122	12	4	1
Krüppel	3.531250	1.950755	5.454546	2.195036	3.968750	2.320795	15	7	2
Kuchen	6.187500	2.161802	4.151515	2.488991	1.562500	1.522678	12	6	2
Kuh	4.909091	1.182255	3.031250	2.292827	1.281250	0.634206	12	3	1
Kuhle	4.757576	1.031695	2.419355	2.029355	3.312500	2.468348	17	5	2
Kühnheit	5.757576	1.696141	4.636364	2.233526	7.875000	1.680054	14	8	2
Küken	5.909091	1.942351	4.121212	2.758595	1.468750	0.761339	14	5	2
Kummer	3.272727	2.648971	5.242424	2.358897	8.187500	1.148281	12	6	2
Kunde	5.060606	1.143990	2.500000	2.079082	3.812500	2.775904	10	5	2
Kunst	6.212121	2.088025	4.937500	2.487874	7.645161	1.889416	8	5	1
Kuppel	5.272727	1.281423	2.531250	2.031754	2.031250	1.655575	13	6	2
Kuppler	4.848485	2.093460	3.843750	2.370645	5.677419	2.561082	17	7	2
Kurs	5.121212	1.053494	2.303030	1.811161	5.781250	2.459142	9	4	1
Kurve	5.363636	0.929320	3.060606	2.384054	3.750000	2.782433	12	5	2
Kuss	6.939394	2.967948	7.562500	2.435457	3.156250	2.503022	14	4	1
Lächeln	6.848485	2.818701	6.812500	2.583290	5.312500	2.632765	10	7	2
Lachen	7.060606	3.009769	6.333333	2.520747	5.437500	2.816283	11	6	2
Laden	5.030303	0.918043	2.363636	1.949650	2.093750	1.613639	10	5	2
Ladung	4.969697	0.847233	2.500000	2.199707	3.968750	2.705841	12	6	2
Lager	5.121212	0.992395	2.322581	2.087855	3.531250	2.663788	9	5	2
Lampe	5.281250	0.812578	2.419355	2.172160	1.218750	0.659148	12	5	2
Laub	5.575758	1.323591	2.781250	2.310347	1.968750	1.635974	13	4	1
Läufer	5.333333	0.957427	2.937500	2.313181	3.468750	2.514274	12	6	2
Leder	5.212121	1.386488	3.062500	2.256710	2.125000	1.844783	12	5	2
Lehre	5.393939	1.058873	2.969697	2.113718	6.406250	2.538216	10	5	2
Lehrer	5.242424	1.199747	3.545455	2.488610	2.406250	1.981517	9	6	2
Leiche	3.125000	2.981123	7.060606	2.384054	2.531250	2.368944	10	6	2
Leichnam	3.031250	2.845306	6.515152	2.717090	2.468750	2.155030	13	8	2
Leid	3.125000	2.779534	6.250000	2.475688	8.281250	0.771859	11	4	1
Leistung	5.969697	2.038456	4.090909	2.296242	7.437500	1.564475	9	8	2
Leiter	4.969697	0.883348	2.250000	1.967478	1.406250	0.837021	9	6	2
Lepra	2.906250	2.544563	5.909091	2.908647	4.500000	2.896049	16	5	2
Lesbe	4.757576	1.541718	5.090909	2.428524	4.593750	2.938722	16	5	2
Lesung	5.545455	1.542946	2.741936	1.931627	5.625000	2.485442	11	6	2
Licht	6.515152	2.251683	4.333333	2.354075	4.437500	3.099818	9	5	1
Liebchen	6.060606	1.599598	4.818182	2.351257	6.656250	1.734087	16	8	2
Liebe	7.151515	3.032338	7.531250	2.299851	8.906250	0.296145	8	5	2
Liebling	6.636364	2.342784	6.406250	2.197644	6.062500	2.169250	12	8	2
Liebster	6.468750	2.651650	5.909091	2.504541	5.718750	2.426126	15	8	2
Lied	6.187500	2.657157	5.125000	2.673044	4.906250	2.843889	10	4	1
Lilie	6.343750	1.944544	4.878788	2.509452	1.562500	1.134147	15	5	2
List	4.545455	1.660025	4.212121	2.595159	7.218750	2.210450	12	4	1
Lizenz	5.090909	0.804815	2.387097	2.011259	5.562500	2.711237	11	6	2
Lob	6.062500	2.313181	5.666667	2.231405	7.225807	1.927169	11	3	1
Locke	5.687500	1.533234	3.656250	2.634870	1.687500	0.895779	15	5	2
Lockung	5.424242	1.275498	4.281250	2.530260	7.531250	1.848877	17	7	2
Löffel	5.272727	0.674200	1.968750	1.713031	1.312500	0.592289	13	6	2
Lohn	6.032258	2.676862	3.666667	2.217356	4.812500	2.620484	10	4	1
Lücke	4.787879	0.857233	2.937500	2.093577	4.406250	2.803907	11	5	2
Luder	3.757576	2.151022	6.060606	1.886455	6.343750	1.877015	15	5	2
Lüge	3.636364	2.497726	6.750000	2.382734	7.968750	1.655575	11	4	2
Lügner	3.696970	2.455668	6.625000	2.043874	6.500000	2.094540	13	6	2
Lumpen	3.515152	1.856092	3.848485	2.739996	3.187500	2.116563	14	6	2
Lunge	5.121212	1.340652	3.156250	1.705955	1.687500	1.090649	13	5	2
Lust	6.125000	2.196038	6.727273	2.577217	8.281250	1.113969	9	4	1
Lüstling	4.060606	2.060634	6.818182	2.083485	5.718750	2.358709	18	8	2
Luxus	6.242424	2.136444	5.218750	2.282251	7.218750	2.708819	11	5	2
Macke	4.393939	1.853028	4.757576	2.000473	6.968750	2.334653	15	5	2
Made	3.606061	2.304064	5.212121	2.570963	2.062500	1.625155	15	4	2
Magen	4.696970	0.918043	2.606061	1.919300	2.281250	2.019811	12	5	2
Magie	6.151515	2.195467	6.242424	2.784222	8.000000	1.545023	13	5	2
Maid	5.303030	1.211529	3.000000	2.091650	3.906250	2.467327	16	4	1
Mais	5.333333	1.406829	2.437500	2.270960	1.343750	0.545325	13	4	1
Maler	5.848485	1.460334	4.000000	2.286002	3.750000	2.577821	10	5	2
Mama	6.212121	2.712904	6.272727	2.308581	3.250000	2.663977	11	4	2
Manie	4.151515	2.032874	4.848485	2.513976	8.187500	1.330474	16	5	2
Mantel	5.424242	1.146470	2.531250	2.031754	1.718750	1.570584	11	6	2
Märchen	6.363636	2.233526	4.515152	2.237761	6.406250	2.394340	11	7	2
Markt	5.375000	1.431219	2.687500	2.101267	3.218750	2.239447	8	5	1
Masseur	6.090909	2.082121	6.272727	2.452967	3.531250	2.449284	14	7	2
Mast	4.545455	1.602555	2.645161	2.009119	3.468750	2.972827	14	4	1
Maul	3.878788	1.916337	4.250000	2.527271	2.437500	1.625155	12	4	1
Meer	6.375000	2.624328	5.343750	2.742843	2.437500	2.139302	10	4	1
Mehl	5.060606	0.658568	1.937500	2.015064	1.343750	0.787375	13	4	1
Memme	3.787879	2.132451	5.606061	2.207082	6.375000	2.181299	17	5	2
Menü	5.500000	1.502686	3.687500	2.428826	4.843750	2.874912	13	4	2
Metall	4.939394	1.143990	2.212121	1.815860	2.468750	2.015815	12	6	2
Mief	3.787879	2.117746	4.939394	2.536476	7.031250	2.132458	15	4	1
Milben	3.969697	2.284251	4.484849	2.647183	2.437500	1.865433	16	6	2
Milde	5.875000	1.791557	4.375000	2.511265	7.843750	1.608634	13	5	2
Mist	3.939394	1.853028	5.281250	2.385905	3.000000	2.366432	13	4	1
Mitte	5.121212	0.927280	2.468750	2.285782	5.843750	2.370645	8	5	2
Moder	3.575758	2.236491	4.666667	2.700309	5.483871	2.706424	16	5	2
Modul	4.878788	0.857233	2.250000	2.063508	5.843750	2.952412	14	5	2
Moment	5.375000	1.539795	4.281250	2.542977	7.812500	1.908174	10	6	2
Monat	5.242424	1.090593	2.093750	1.872714	6.156250	2.772089	9	5	2
Monster	3.781250	2.445989	5.969697	2.698204	4.875000	2.485442	12	7	2
Monteur	4.606061	0.933387	2.406250	1.965171	3.562500	2.663220	15	7	2
Morast	3.515152	2.032874	4.818182	2.530496	3.750000	2.700060	15	6	2
Mord	2.718750	3.029259	7.531250	2.396023	5.812500	2.977740	10	4	1
Mörder	3.062500	2.906472	6.696970	2.994629	4.937500	2.746699	10	6	2
Moschus	5.272727	1.940888	4.242424	2.646109	4.093750	2.922211	17	7	2
Möse	3.687500	2.442071	5.718750	2.887508	2.968750	2.162501	18	4	2
Mühle	5.181818	1.102683	2.677419	2.196772	1.406250	0.756024	12	5	2
Müll	3.848485	2.320038	4.375000	2.379347	2.593750	1.864081	11	4	1
Mund	5.757576	2.062012	3.968750	2.334653	1.281250	0.581121	10	4	1
Münze	5.393939	1.273268	2.838710	2.517893	1.375000	0.609071	13	5	2
Murmel	5.125000	1.099853	2.437500	1.882646	2.187500	1.958233	17	6	2
Muschi	4.375000	2.043874	6.060606	2.435921	2.718750	2.051504	18	6	2
Musik	6.636364	2.837452	5.903226	2.612213	6.218750	2.836790	8	5	2
Muskel	5.531250	1.367465	4.484849	2.599534	1.937500	1.389767	14	6	2
Mut	6.090909	2.227157	5.787879	2.558779	8.218750	1.039056	10	3	1
Mutant	4.333333	1.931105	4.125000	2.324484	5.187500	2.481382	18	6	2
Mütze	5.250000	1.047270	2.406250	1.898376	1.387097	0.615219	12	5	2
Mystik	5.909091	1.528145	5.181818	2.416797	8.281250	1.084625	14	6	2
Mythen	5.727273	1.305582	5.272727	2.139987	8.218750	1.069651	12	6	2
Nacken	5.787879	1.634732	4.062500	2.626632	1.281250	0.522672	12	6	2
Nadel	4.818182	1.236288	3.515152	2.251683	1.500000	0.950382	13	5	2
Nähe	6.333333	2.174665	6.181818	2.416797	7.093750	2.248431	9	4	2
Name	5.303030	1.489229	2.812500	2.131749	5.718750	3.225247	9	4	2
Narbe	3.696970	2.068889	5.151515	2.373305	2.000000	1.646110	14	5	2
Nase	5.181818	1.044466	3.454546	2.292527	1.156250	0.447889	10	4	2
Natter	4.121212	1.980492	4.062500	2.354645	1.437500	1.014015	16	6	2
Nazi	2.750000	3.026762	7.393939	2.486707	3.968750	2.729580	14	4	2
Neid	3.625000	2.636591	5.875000	2.225222	8.343750	0.745281	12	4	1
Nektar	5.906250	1.467044	3.696970	2.364911	3.031250	2.402745	16	6	2
Nigger	2.937500	2.816283	7.062500	2.408821	4.774194	2.654677	15	6	2
Nippel	4.606061	1.935513	5.531250	2.214095	2.093750	1.633508	18	6	2
Not	3.515152	2.501515	5.937500	2.675305	7.406250	2.061308	10	3	1
Notar	5.062500	1.162242	2.548387	2.350017	3.437500	2.638884	13	5	2
Notiz	5.030303	0.951474	2.312500	2.038936	3.968750	2.608725	13	5	2
Nutte	3.125000	2.446195	5.696970	2.506053	4.406250	2.588553	16	5	2
Nutzen	5.250000	1.163975	2.757576	1.785887	6.750000	2.382734	11	6	2
Obdach	5.151515	1.416890	3.212121	1.964650	4.875000	2.310565	15	6	2
Obhut	5.545455	1.733690	3.636364	1.867789	6.187500	2.361485	13	5	2
Ofen	5.212121	1.363763	3.437500	2.422176	1.500000	0.879883	12	4	2
Opfer	3.062500	2.601953	6.575758	2.305297	5.343750	2.444340	8	5	2
Ordner	5.060606	0.933387	2.419355	2.247579	1.687500	1.574750	13	6	2
Ordnung	5.606061	1.638204	3.757576	2.586386	6.656250	2.509458	10	7	2
Organ	5.242424	1.323591	3.870968	2.140747	2.250000	1.586231	12	5	2
Orgie	4.625000	1.827214	6.161290	2.570302	5.750000	2.286002	15	5	2
Paar	6.515152	2.526376	5.515152	2.306529	3.468750	2.382522	10	4	1
Paarung	5.906250	1.376282	5.878788	2.433588	6.125000	2.536826	15	7	2
Packung	4.939394	0.704423	2.181818	1.827815	2.000000	1.107161	14	7	2
Paddel	5.363636	1.025249	2.290323	1.986514	1.656250	1.598576	17	6	2
Paket	5.333333	1.428869	2.968750	2.558785	1.843750	1.461536	11	5	2
Palast	5.787879	1.763476	4.437500	2.663220	2.218750	2.090445	11	6	2
Panik	3.093750	2.692395	6.606061	2.621300	8.187500	0.820602	11	5	2
Papier	5.212121	0.649883	2.437500	2.108929	1.718750	0.991394	9	6	2
Parfüm	6.393939	2.235221	4.968750	2.546147	3.125000	2.756225	14	6	2
Party	6.181818	2.530496	5.787879	2.631036	5.125000	2.599628	11	5	2
Pech	3.515152	2.292940	5.030303	2.417189	7.781250	2.043627	11	4	1
Pein	3.531250	2.602534	5.606061	2.384054	8.218750	0.792480	14	4	1
Pendel	4.969697	1.310650	3.718750	2.260950	1.843750	1.505032	15	6	2
Penis	4.812500	1.749424	6.718750	2.203141	1.406250	0.797552	14	5	2
Penner	3.575758	2.291701	5.939394	2.060634	4.593750	2.734008	14	6	2
Perle	6.312500	2.263846	5.000000	2.462215	1.781250	1.679754	13	5	2
Pest	2.968750	2.999832	6.656250	2.350146	5.375000	2.882092	13	4	1
Petze	3.454546	2.526001	5.000000	2.590305	6.593750	1.932062	18	5	2
Pfanne	4.666667	0.989529	2.343750	2.103904	1.156250	0.447889	14	6	2
Pflege	6.000000	1.802776	3.687500	2.070336	6.677419	2.300538	11	6	2
Pfusch	3.437500	2.487874	5.090909	2.350048	6.687500	2.070336	15	6	1
Phase	5.121212	0.992395	2.187500	1.821688	7.000000	2.079082	10	5	2
Phobie	3.272727	2.565063	6.454546	2.538342	8.156250	1.483444	17	6	2
Pickel	2.939394	2.486707	5.818182	2.732382	1.875000	1.039541	15	6	2
Picknick	6.031250	2.278715	4.848485	2.333469	3.500000	2.639648	14	8	2
Pimmel	3.625000	1.862187	6.727273	2.154541	2.125000	1.699146	18	6	2
Pisse	3.250000	2.735667	6.451613	2.838294	2.562500	2.015064	18	5	2
Pizza	5.939394	1.836086	4.363636	2.421495	1.500000	1.481063	13	5	2
Plage	3.968750	2.101986	4.333333	2.700309	7.312500	1.635050	14	5	2
Plakat	4.909091	0.765002	2.093750	1.889861	2.781250	2.511064	12	6	2
Plane	5.121212	0.780928	2.354839	2.074422	2.250000	1.951013	14	5	2
Platte	5.000000	0.901388	2.387097	1.926611	2.193548	1.621098	11	6	2
Pleite	3.593750	2.353575	5.212121	2.654684	6.906250	2.454218	11	6	2
Pöbel	3.531250	2.155030	5.212121	2.132451	5.406250	2.563508	15	5	2
Pocken	3.187500	2.583290	4.000000	2.602728	3.161290	2.437167	15	6	2
Poet	6.393939	2.207082	5.000000	2.150581	5.187500	2.334005	13	4	2
Polyp	4.000000	1.565763	3.468750	2.341551	3.406250	2.512670	18	5	2
Popel	4.000000	2.046338	5.750000	2.184993	2.093750	2.005788	18	5	2
Popo	5.272727	1.875379	5.484849	2.399495	1.812500	1.281066	17	4	2
Porno	3.781250	2.351861	6.031250	2.468961	3.156250	2.541391	15	5	2
Pracht	6.406250	2.029768	3.787879	2.088025	7.062500	2.256710	12	6	1
Prämie	5.636364	1.949650	4.060606	2.703463	5.187500	2.595747	12	6	2
Prärie	5.484849	1.394660	2.677419	2.150769	4.562500	2.861733	15	6	2
Produkt	5.000000	1.000000	2.281250	1.818088	4.562500	3.130882	10	7	2
Profi	5.909091	1.809068	3.333333	2.160247	6.625000	2.106059	11	5	2
Profit	4.757576	1.936981	3.969697	2.627794	6.875000	2.028029	12	6	2
Prospekt	4.843750	0.723316	2.312500	2.278051	3.062500	2.408821	13	8	2
Prügel	3.333333	2.300362	6.242424	2.462599	5.312500	2.717180	13	6	2
Puff	3.343750	2.634870	5.454546	2.575011	4.031250	2.729580	15	4	1
Pups	3.562500	2.285120	5.272727	2.528250	4.406250	2.710307	18	4	1
Pussy	4.363636	2.162438	5.843750	2.464056	3.968750	2.776449	17	5	2
Quadrat	5.212121	0.599874	1.967742	2.073385	2.718750	2.426126	14	7	2
Qual	3.312500	2.867364	6.031250	2.520681	7.937500	1.268413	13	4	1
Quartier	4.939394	0.863836	2.312500	1.958233	4.406250	2.815388	12	8	2
Rache	3.500000	2.341767	6.454546	2.412091	8.093750	1.173893	11	5	2
Rächer	3.343750	1.789023	5.727273	2.465673	6.593750	1.965171	14	6	2
Rampe	4.818182	1.044466	2.451613	2.126636	2.312500	1.595103	13	5	2
Raps	5.093750	1.058282	2.741936	2.159749	2.250000	2.094540	14	4	1
Rasen	5.363636	1.577541	2.387097	1.542237	2.250000	2.214323	11	5	2
Rassist	2.781250	2.926347	7.030303	2.579787	6.093750	2.441039	15	7	2
Rasur	5.212121	1.268798	3.969697	2.404226	4.312500	2.752565	17	5	2
Ratte	4.151515	2.166812	4.870968	2.837157	1.322581	0.747757	14	5	2
Raub	3.272727	2.613340	5.939394	2.397126	5.718750	2.452574	12	4	1
Räuber	3.718750	2.517479	5.818182	2.615513	3.562500	2.184070	11	6	2
Rechner	4.969697	1.074850	2.161290	2.018197	2.312500	1.839311	11	7	2
Regal	5.000000	0.612372	2.300000	2.151984	1.375000	0.906962	13	5	2
Reichtum	5.939394	2.304064	4.625000	2.498387	7.312500	2.023053	11	8	2
Reife	5.696970	1.960307	4.545455	2.412091	7.687500	1.654661	13	5	2
Reifung	6.031250	1.596051	3.515152	2.360101	7.687500	1.839311	16	7	2
Reise	6.468750	2.462419	5.818182	2.615513	6.187500	2.191442	9	5	2
Reiz	5.878788	1.883441	5.878788	2.509452	7.500000	2.140244	11	4	1
Rekord	5.787879	1.899960	4.030303	2.615875	6.781250	2.561934	11	6	2
Reptil	4.454546	1.582935	3.787879	2.484421	2.156250	1.370410	16	6	2
Ressort	5.212121	0.992395	2.354839	2.042032	5.968750	2.788043	10	7	2
Retter	6.393939	2.423058	5.060606	2.737921	4.781250	2.432765	12	6	2
Rettung	6.242424	2.236491	5.787879	2.631036	6.354839	2.456941	10	7	2
Riegel	5.090909	1.182255	2.250000	1.951013	2.187500	1.856766	13	6	2
Röhre	4.484849	1.325736	3.000000	2.345208	2.875000	2.254029	13	5	2
Roman	5.468750	2.124881	3.812500	2.249552	3.812500	2.988553	9	5	2
Rose	6.343750	2.404423	4.757576	2.692934	1.281250	0.581121	12	4	2
Rotz	3.424242	2.500379	5.454546	2.001420	3.774194	2.801305	17	4	1
Ruder	5.424242	0.969223	2.500000	2.271847	1.437500	0.800705	13	5	2
Ruhe	6.363636	2.369311	4.121212	2.521874	7.937500	1.794930	9	4	2
Ruhm	6.187500	2.249552	4.818182	2.579420	8.312500	1.029798	11	4	1
Rührung	6.030303	2.053729	5.878788	2.459136	7.968750	1.092035	13	7	2
Ruin	3.312500	2.912016	5.156250	2.760427	7.718750	1.549909	13	4	2
Rülpser	3.727273	1.858641	5.484849	2.647183	4.838710	3.110164	18	7	2
Rüpel	4.000000	2.000000	4.575758	2.194173	5.468750	2.422800	16	5	2
Saal	5.121212	1.023401	2.656250	2.164365	2.468750	2.184762	10	4	1
Sadist	3.281250	2.761888	6.424242	2.016034	5.806452	2.613036	17	6	2
Sahne	6.030303	1.862204	3.696970	2.530870	1.870968	1.477429	14	5	2
Salbung	5.575758	1.323591	4.060606	2.645035	6.375000	2.511265	17	7	2
Sammler	5.424242	1.225518	2.875000	2.012060	4.468750	2.577626	11	7	2
Sand	6.250000	1.900764	3.515152	2.762712	2.031250	1.840133	10	4	1
Sänger	6.363636	2.288807	4.718750	2.358709	3.354839	2.229326	10	6	2
Saphir	5.875000	2.239672	4.515152	2.563216	2.281250	2.158769	17	6	2
Sarg	3.375000	2.709005	6.121212	2.781160	1.687500	1.176038	12	4	1
Satan	3.531250	2.816820	6.303030	2.311450	6.312500	2.632765	13	5	2
Satin	6.212121	1.727671	4.424242	2.487849	2.468750	2.155030	16	5	2
Satz	5.121212	0.857233	2.250000	2.032002	5.406250	2.894482	9	4	1
Sau	3.718750	1.689329	5.787879	2.368512	1.548387	1.178663	13	3	1
Säufer	3.424242	2.669624	6.333333	2.419539	4.968750	2.705841	15	6	2
Säule	5.393939	1.028937	2.562500	2.108929	2.187500	2.101267	12	5	2
Sauna	5.968750	1.975403	5.212121	2.287979	2.062500	1.389767	12	5	2
Schabe	3.500000	2.140244	4.515152	2.829766	1.843750	1.167003	18	6	2
Schaf	5.242424	1.173411	2.757576	2.062012	1.468750	0.915260	13	5	1
Schal	5.090909	1.486683	2.531250	2.094299	1.812500	1.533234	13	5	1
Schale	5.156250	1.080901	2.548387	2.218689	1.781250	1.475267	13	6	2
Schalk	5.363636	1.557606	3.848485	2.306529	6.968750	1.874866	15	6	1
Schalter	4.909091	0.879049	2.225807	2.044663	2.093750	1.691714	13	8	2
Schande	3.875000	2.472429	5.060606	2.410127	7.906250	1.672537	12	7	2
Schatz	6.281250	2.831099	5.878788	2.701361	4.968750	3.146779	12	6	1
Schaufel	5.030303	0.529437	2.437500	1.949979	1.562500	1.366359	14	8	2
Schaum	5.484849	1.438776	3.727273	2.589314	2.406250	2.029768	14	6	1
Scheide	4.969697	1.722731	6.406250	2.076899	1.812500	1.595103	15	7	2
Scheisse	3.500000	2.475688	6.393939	2.524126	3.156250	2.411122	13	8	2
Schema	5.060606	0.899284	2.129032	2.291171	6.875000	2.282472	13	6	2
Schenkel	5.515152	1.349102	4.878788	2.459136	1.750000	0.950382	14	8	2
Schere	5.060606	0.658568	2.193548	1.701359	1.406250	1.433682	13	6	2
Scherz	6.212121	2.355281	4.939394	2.192878	6.906250	2.005788	12	6	1
Scheusal	3.121212	2.781160	5.696970	2.455668	7.406250	1.562863	16	8	2
Schiene	4.757576	0.969223	2.580645	2.306140	2.156250	2.244842	12	7	2
Schiff	5.454546	1.641092	2.750000	2.125119	1.406250	0.874712	10	6	1
Schilf	5.437500	1.293595	2.687500	2.334005	1.406250	0.712079	14	6	1
Schimmel	3.781250	2.636400	4.454546	2.386039	3.031250	2.221368	13	8	2
Schinken	5.181818	1.648002	3.531250	2.409449	1.375000	0.906962	13	8	2
Schirm	5.272727	0.977008	2.125000	1.862187	1.406250	0.756024	13	6	1
Schiss	3.393939	2.263010	5.515152	2.807593	7.312500	2.038936	18	6	1
Schlacht	3.545455	2.093008	6.333333	2.520747	5.687500	2.442071	11	8	1
Schlaf	6.484849	2.623466	5.000000	2.207940	5.156250	2.725144	11	6	1
Schläger	3.272727	2.267608	6.333333	2.581989	3.937500	2.577039	12	8	2
Schlampe	3.375000	2.524078	6.468750	2.078839	5.437500	2.687336	16	8	2
Schlaufe	4.757576	0.791766	2.363636	2.118640	2.437500	1.882646	17	8	2
Schleim	3.484849	2.360101	5.606061	2.749311	2.812500	2.191442	15	7	1
Schlips	4.969697	0.809508	2.656250	2.237645	1.843750	1.608634	14	7	1
Schlund	3.787879	1.866775	4.666667	2.594064	3.968750	2.468961	15	7	1
Schmaus	5.781250	1.773176	5.181818	2.697853	5.062500	2.589526	16	7	1
Schmerz	3.696970	2.674940	6.727273	2.110579	8.093750	1.422387	11	7	1
Schmuck	6.212121	1.916337	4.093750	2.262733	2.281250	1.764057	11	7	1
Schmutz	3.875000	2.181299	4.272727	2.253785	3.718750	2.690897	13	7	1
Schnauze	3.843750	2.171804	5.000000	2.397916	3.343750	2.509458	14	8	2
Schnee	5.687500	2.235166	4.250000	2.382734	1.531250	0.949851	10	6	1
Schnitt	5.060606	0.863836	3.000000	1.967478	4.000000	2.514474	10	7	1
Schnösel	3.424242	2.424231	4.787879	2.471811	6.218750	2.210450	16	8	2
Schnur	5.000000	0.612372	2.354839	2.090429	1.812500	1.306004	13	6	1
Schock	3.575758	2.411305	6.266667	2.504249	7.687500	1.330474	11	6	1
Schrank	4.969697	0.636634	2.516129	2.378669	1.343750	0.700662	12	7	1
Schreck	3.787879	2.394754	5.696970	2.555446	7.750000	1.319824	13	7	1
Schrei	3.606061	2.290461	6.666667	2.041242	6.406250	2.637929	12	6	1
Schrift	5.484849	1.622521	2.593750	2.045599	4.500000	3.090047	11	7	1
Schuft	3.969697	2.038456	4.812500	2.669270	5.645161	2.443336	15	6	1
Schuh	5.212121	1.536180	2.909091	2.441358	1.218750	0.490844	12	5	1
Schuld	3.812500	2.361485	5.242424	2.106987	8.062500	1.664380	9	6	1
Schulden	3.545455	2.658605	4.606061	2.474108	6.531250	2.109646	10	8	2
Schulter	5.363636	1.220097	2.848485	2.063389	1.625000	0.870669	11	8	2
Schurke	3.878788	2.218637	4.454546	2.476021	5.531250	2.577626	15	7	2
Schüssel	5.242424	0.902438	2.093750	1.531589	1.250000	0.508001	12	8	2
Schutz	6.093750	2.021807	4.090909	2.578319	7.968750	1.092035	9	6	1
Schwamm	5.030303	0.951474	2.433333	2.430884	1.656250	1.095721	14	7	1
Schwanz	3.968750	1.857580	5.875000	2.624328	2.000000	1.414214	13	7	1
Schwarm	6.531250	2.155030	5.818182	2.567277	6.656250	2.509458	14	7	1
Schweiss	3.757576	2.449876	5.727273	2.375299	3.322581	2.561082	12	7	1
Schwinge	5.000000	1.172604	2.718750	2.128673	5.000000	2.940266	16	8	2
Schwuler	4.727273	1.682125	5.484849	2.223753	4.281250	2.478740	16	8	2
Schwung	5.787879	1.815860	4.437500	2.227938	6.531250	2.539804	11	7	1
Schwur	5.606061	1.539874	4.151515	2.181187	7.531250	1.606125	13	6	1
Seele	6.272727	2.528250	5.562500	2.770088	8.593750	0.837021	9	5	2
Segen	6.272727	1.908414	4.212121	2.433588	7.843750	1.370410	11	5	2
Segnung	6.030303	2.053729	3.606061	2.524126	7.468750	1.813647	16	7	2
Seide	6.151515	1.822108	3.969697	2.567645	2.656250	2.417802	13	5	2
Seil	4.939394	0.933387	2.806452	2.056200	1.437500	1.162242	13	4	1
Sekt	5.333333	1.963203	4.718750	2.517479	2.062500	1.457738	12	4	1
Selters	5.060606	1.390580	2.363636	1.997157	2.312500	1.958233	16	7	2
Sender	4.848485	0.712444	2.406250	2.153158	4.406250	2.650129	9	6	2
Sendung	5.212121	1.023401	2.548387	1.963648	5.000000	2.615093	10	7	2
Sequenz	5.151515	0.795346	2.064516	2.189908	7.093750	2.276944	14	7	2
Seuche	3.218750	2.904217	6.484849	2.463752	7.093750	1.889861	13	6	2
Sex	6.531250	2.602534	7.545455	2.386039	4.781250	2.836790	10	3	1
Sieb	5.121212	1.139012	2.156250	2.065217	1.625000	1.361925	15	4	1
Sieg	6.468750	2.663788	5.757576	2.462599	6.281250	2.654690	8	4	1
Siegel	5.393939	0.998104	2.687500	2.235166	2.875000	2.090686	13	6	2
Sieger	6.393939	2.486707	5.181818	2.952272	4.843750	2.908379	10	6	2
Silbe	4.969697	0.769937	1.878788	1.932576	5.906250	2.728102	14	5	2
Sitz	5.121212	0.649883	2.718750	2.275173	2.281250	1.904737	10	4	1
Ski	5.303030	1.793824	2.939394	2.276777	1.812500	1.424158	12	3	1
Sklave	3.484849	2.412483	5.906250	2.305105	3.812500	2.388649	14	6	2
Slalom	5.000000	1.107161	2.468750	1.999748	5.000000	2.615093	13	6	2
Sockel	5.181818	0.768706	2.437500	2.031010	1.843750	1.050633	13	6	2
Sohle	4.848485	0.905580	2.193548	2.039924	2.093750	1.802496	14	5	2
Soja	5.181818	1.236288	3.030303	2.228857	3.281250	2.385905	14	4	2
Sommer	6.878788	2.825747	5.909091	2.685187	5.677419	2.700458	9	6	2
Sonne	6.666667	2.857738	5.636364	2.848445	2.718750	2.504633	9	5	2
Sorte	5.060606	0.788170	2.343750	1.824729	7.156250	2.287545	12	5	2
Spalte	4.787879	1.082750	3.387097	2.485658	3.250000	2.369157	14	6	2
Spange	5.030303	1.185455	2.727273	2.281347	1.656250	1.065875	16	6	2
Spanner	3.181818	2.518116	6.121212	2.027276	4.906250	2.751649	16	7	2
Spass	6.909091	2.982906	6.242424	2.500379	7.781250	1.475267	16	5	1
Speichel	4.636364	1.834022	5.151515	2.346823	1.906250	1.444888	15	8	2
Speicher	5.121212	0.927280	2.303030	2.172050	3.812500	2.775904	13	8	2
Spektrum	5.151515	0.905580	2.354839	1.975658	7.218750	2.253805	11	8	2
Spende	6.000000	1.778002	3.718750	2.426126	5.781250	2.660759	12	6	2
Sperma	4.848485	1.583533	6.281250	2.082715	2.062500	1.848059	15	6	2
Spiegel	5.575758	1.620770	3.656250	2.444340	1.375000	0.609071	9	7	2
Spinner	3.757576	2.121767	4.909091	2.184657	6.258065	2.159749	14	7	2
Spion	3.848485	2.137774	5.709677	2.084763	4.468750	2.884714	13	5	2
